text,rating
We came last week in the evening in your hotel .it was a lady whose name rania .she was so fluffy and her hospitality was reaally adorable .she knew that it was our honeymoon occasion. She offered un upgrade and a voucher for us.besides.the service was good .the food the rooftop too .sincerly .we would like to come again,5.0
"Fine hotel in the center of casablanca, with big rooms. The food is great and the personel is very kind, especially Idrisse! The rooftop bar with pool is amazing, the view is great, perfect place for a drink. I highly recommed this hotel to everyone!",5.0
The room was dark and the mattress was like a brick. The water from the shower goes all over the bathroom. Everything was clean and the staff were incredibly nice. But I would definitely look at staying somewhere else if I were you………………………….,2.0
"Very good experience , when traveling for business in Casablanca and having such environment to rest and prepare for your business appointments specially with such an excellent assistance from the IT manager of the hotel Mr Noureddine ait fellah who helped me a lot also thanks to all the stuff there.",5.0
Nice hôtel nice staff Big thanks for the IT team best internet Line and wifi ever in Casablanca i highly recommended movenpick hôtel Casablanca in the centre city with a great view in the roof top high quality ,5.0
Jalila was amazing!! Highly recommend this hotel and the staff. Very nice and informative. Had a great time here. The rooms and service was great and everyone was helpful. Bar and pool were clean and great drinks. If you’re in Casablanca you should come to this hotel,5.0
We have booked for a classical room and get surprised by an upgrade on the front desk which was really cheerful for us .it was a cute lady there her name is Rana and her manager  The service was awesome .the food everything was good and we are planing to comeback to celebrate the new year there too.also my family gonna come .I advise you to go there nowadays cuz you gonna enjoy the stay .,5.0
"This hotel is a marvel, I am very happy to have had the chance to stay there.  Everything is perfect, the welcome, the service, the friendliness of the staff, the splendor of the place...  An idyllic setting, improbably beautiful and refined, the buffet by the pool is stunning in terms of quality and variety.  Impossible to go to Casablanca without going through the Movenpik hotel It is in the city center all the places are surrounded by you, It is a great quality.  The place has an indescribable charm, All the staff are friendly and helpful Plus we met a charming girl called Aicha at the 16th floor restaurant She is too gallant And most importantly she works with a professional spirit.  You have to live it to understand it.  I recommend this palace where the staff will welcome you in the best possible way.  thank you for everything…",5.0
"I would like to share my wonderful experience and stay at the hotel , my friend and I came all the way from Canada and stayed at the hotel , it was  beautiful hotel with a great view and  spacious rooms that are very clean and a very caring staff. our guide suggested us to try the Spa and it was wonderful,  we were blessed to be taken care of by two amazing and caring girls Aicha and Hasna that i want to thank a lot for their kindness and professionalism , the Hamame and Spa were very good thanks to this wonderful girls. A great professional team in all departments thanks to a good conductor, one of the best managing directors ever met, always present. our stay in the hotel was very enjoyable and i recommende everyone to try it.",5.0
"During our stay in Casablanca my wife contracted Covid. We had to extend our stay at the Movenpick Hotel, cancel and rebook a new flight and arrange airport transportation. The Chief Concierge Hassan Zouhdy was most helpful in aiding us to make these arrangements. We were most grateful for his expertise which served to relieve some of the anxiety associated with these changes.",5.0
"The serving staff at the pool bar (Arnele or Arnold) was awesome. He provided top notch service . Also, the head concierge Hassan was very helpful, he assisted us with local restaurants and taxi information. ",4.0
"Amazing and relaxing stay at Casablanca is guaranteed at Mövenpick. If you tired after hot day just jump in the rooftop pool on 16th floor.  As well bar, pool service and lovely restaurant “16ème Floor” to your service.  Thank you for special care of Hassan and of course super service minded, always smiling and always for you service Armel!! You are a rising star! Thank you! You made my stay!  I had a amazing and lovely stay!  I strongly recommend Mövenpick for your stay.  As negative things during the stay, as I am Accor Diamond member I am extremely disappointed that hotel tried to sell me late check out, explaining it is General Manager (GM) design. (Room was available that why it was for sale otherwise hotel can not sale late check out if next guest check in soon). I…",4.0
"Hotel staff were inexperienced and did not seem to know how to do their jobs. Front desk did not pay attention to details, sky bar broke a bottle next to us and left glass all over without bothering to clean it up and spa was the worst experience I ever had in the world. I question the validity of the masseuse.",1.0
"I am staying with a travel group at this hotel in Casablanca. I had a problem because the lens in my eyeglasses came out. I went to the concierge, Hassan, to see if they might help me with my problem. He immediately told me of a close by optician then he actually walked me there and my glasses were quickly fixed. The service provided by Hassan was wonderful. This hotel really cares about their guests!",5.0
"The property is one of the most beautiful places I ever had the pleasure to stay at. Very well decorated, beautiful garden and just the most calming atmosphere ever. Everything was just fantastic! First time here and hope to come back more times. The hotel is beautiful, the rooms very well decorated, the pool is amazing and the food at the restaurant also. The bar was fantastic with a great menu selection plus fantastic service. This bring me to the next topic... the restaurant. We loved the food. There was nothing we ate that we did not like. Everything was tasty and cooked with fresh produce, the service overall was fantastic, everyone was very attentive and thinking ahead which made our stay effortless. A beautiful girl there named Aisha greeted me very warmly.  She's so cute…",5.0
"Pros: Reception is spacious, breakfast was nice and staff were attentive. Housekeeping were responsive. The roof top restaurant greatttt service. Especially, Essafa  @ Le seizieme, what a gentleman! Very attentive, went above and beyond. English was excellent, he is so hard working and made our visit feel like we were family ! Well done Essafa, I’d recommend the restaurant due to to you! The food was good.  Concierge staff member young man, beige suite, fair skinned, glasses, gold glasses I think?maybe black… didn’t catch his name,.. he helped us check in… the lady on reception gave us a room on 7th floor he took us and the the room door was open, getting renovated, no lights worked… luckily he came with our luggage and said no… let’s go back downstairs and had to tell her to…",3.0
"Overall we were quite happy with our stay. In particular the concierge, Mr Hassan, was super helpful as our bags were lost by the airline. He continuously kept us up to date and called the airport twice a day to check on the progress of our bags. The location, however, wasn't ideal for a family trip. The crossroad on which the hotel is located is very congested with traffic and there is limited loading / unloading zones. The tram line is also right in front of the hotel, so it could be a good location for the business traveller.   The rooftop bar was very cool, but the servers were not always available to take orders and help the clientele. The beds are nice and comfortable and the decor is quite up to date.",4.0
We booked this hotel (four women) as we wanted access to a pool and a hamman.  We all enjoyed our treatments - I had a terrific therapist called Imane for my massage.   We also enjoyed chilling out by the pool after a hectic 10 day guided tour of the country.,4.0
"Located in the business center of the city, this could have been perfect.  However, the streets on either side of it were quite busy & noisy.  The rooms were sound-proof so that helped.  It didn't make moving around the vicinity very good because it was a high-traffic area.  Our tour bus could not even stop for very long.  Porters & Front Desk staff were efficient.  The modern decor and the color theme of grey and black would have been something I really like but because the hotel and the rooms were small, the color made it seem even smaller.  The black-grey color theme for the rooms just made them visually and actually cramped.  So, this didn't work for me.  I liked their amenities and toiletries, but the water when showering spilled to the floor.  The room was well-cleaned.  I…",3.0
"OMG  we had the best experience and quality time . Thanks to Mr Kalini and the super beautiful managers Mrs Jalila and Mrs Fatima who always give you the best service,  and on the toproof we have Mr Hassan and staff who are so service wise and hospitality at a high standard . Thanks everyone from Mövenpick we will be back soon ",5.0
Excellent ambience and is beautifully accessorized with art pieces. Spacious rooms with all amenities. Very welcoming staff from checking in to check out and everything in between. Special mention for Pak Deddy at the Banten Bistro for simply excellent service.,5.0
"So let’s start with the pros - such wonderful staff like Meriam at the restaurant, Abrahim the concierge, and Mourini at the reception and generally all the staff and service was great! The menu for lunch and dinner could be improvised- the food was good though! Lastly the rooms, they badly need a renovation!",4.0
Amazing experience. The people are amazing . Hajar and team were exceptional. A place to be when in CASSABLANCA. The food is great. I love everything about the place . We really had an amazing experience. The rooms are also amazing. A place to be DDF,5.0
When you walked around the room in bare feet getting your soles got black from dirt - dust on the curtains and blinds - paint missing all over the place. Dust on the furniture and the drain cover in the shower off and leaning in the corner of the shower. Dark room with weird windows patterned so you could hardly see out.  All of our party - 5 other rooms - experienced  similar. Well below the normal Sofitel experience  we have had the world over.  We are contacting our tour company for a refund and explanation.  The photos posted are by a very good photographer and not representative of the rooms etc.  I should post the picture of the state of the bath mat after my feet had been on it…,1.0
"Hotel has aged badly and needs to be renovated due to really serious tears & wears. rooms and hotel facilities  are badly impacted  nevertheless, my stay went smoothly and thanks to amazing staff like Hajar at breakfast service, valet parking team and Adil at reception.",4.0
"Sogitel Hotel Casablanca The hotel is four stars, but it is clean and the handling is great, especially at breakfast. Mrs. Hajar has a sweet smile and sophistication in the wonderful dealings with everyone, as well as Mr. Marwan has served everyone with his sweet smile and wonderful treatment. Thank them and the hotel management for the presence of their excellent staff",4.0
